variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
WI_sand,tower_mill,derived,V5_0241,1354,no,
_x_clay_mixed,boundary,derived,V5_0242,388,no,
_x_d1,boundary,derived,V5_0243,417,no,
_x_d3,boundary,derived,V5_0244,419,no,
_x_d3_WI_mixed,boundary,derived,V5_0245,385,no,
_x_d4,boundary,derived,V5_0246,420,no,
_x_m_ball,boundary,derived,V5_0247,421,no,
_x_r_carb_mixed,boundary,derived,V5_0248,391,no,
_x_rho_ball,boundary,derived,V5_0249,422,no,
agg_mag_blowdown_valve,magnetic,dcs,V5_0250,1279,yes,
agg_mag_coil_temp,magnetic,dcs,V5_0251,1273,yes,
agg_mag_excit_current,magnetic,dcs,V5_0252,1271,yes,
agg_mag_excit_voltage,magnetic,dcs,V5_0253,1272,yes,
agg_mag_flush_water_pressure,magnetic,dcs,V5_0254,1280,yes,
agg_mag_level,magnetic,dcs,V5_0255,1276,yes,
agg_mag_motor_current_rc,magnetic,dcs,V5_0256,1281,yes,
agg_mag_motor_voltage_rc,magnetic,dcs,V5_0257,1282,yes,
agg_mag_pulsation_freq,magnetic,dcs,V5_0258,1274,yes,
agg_mag_ring_freq,magnetic,dcs,V5_0259,1275,yes,
agg_mag_tailings_valve1,magnetic,dcs,V5_0260,1277,yes,
agg_mag_tailings_valve2,magnetic,dcs,V5_0261,1278,yes,
agg_tm_cyclone_feed_flow,tower_mill,dcs,V5_0262,1411,yes,
agg_tm_cyclone_feed_pressure,tower_mill,dcs,V5_0263,1410,yes,
agg_tm_cyclone_overflow_pool_level,tower_mill,dcs,V5_0264,1427,yes,
agg_tm_cyclone_pool_level,tower_mill,dcs,V5_0265,1414,yes,
agg_tm_cyclone_pool_valve_setpoint,tower_mill,dcs,V5_0266,1415,yes,
agg_tm_cyclone_pump_current,tower_mill,dcs,V5_0267,1413,yes,
agg_tm_cyclone_pump_freq,tower_mill,dcs,V5_0268,1412,yes,
agg_tm_cyclone_sand_valve_feedback,tower_mill,dcs,V5_0269,1418,yes,
