from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
k_cool_NT,T_under_s,flotation,V5_0231,formula_parent,1458
T_amb,T_under_s,flotation,V5_0231,formula_parent,1458
R_coil,V_exc_phys,magnetic,V5_0232,formula_parent,1218
I_exc,V_exc_phys,magnetic,V5_0232,formula_parent,1218
A_cell,V_pulp_actual,flotation,V5_0233,formula_parent,893
L_cell,V_pulp_actual,flotation,V5_0233,formula_parent,893
A_cell_c,"V_pulp_actual_{s,c}",flotation,V5_0234,formula_parent,1585
"L_cell_{s,c}","V_pulp_actual_{s,c}",flotation,V5_0234,formula_parent,1585
grid_voltage,V_ring_motor_phys,magnetic,V5_0235,formula_parent,1265
k_drop_ring,V_ring_motor_phys,magnetic,V5_0235,formula_parent,1265
I_ring_motor_phys,V_ring_motor_phys,magnetic,V5_0235,formula_parent,1265
M_solid,V_slurry,global,V5_0236,formula_parent,200
rho_solid_mix,V_slurry,global,V5_0236,formula_parent,200
M_water,V_slurry,global,V5_0236,formula_parent,200
rho_water,V_slurry,global,V5_0236,formula_parent,200
WI_mill,WI_discharge,tower_mill,V5_0237,formula_parent,1383
WI_feed_prev,WI_feed,tower_mill,V5_0238,formula_parent,1305
tau_cyc_pool,WI_feed,tower_mill,V5_0238,formula_parent,1305
WI_feed_in,WI_feed,tower_mill,V5_0238,formula_parent,1305
M_mag_conc_solid,WI_feed_in,tower_mill,V5_0239,formula_parent,1295
WI_mag_conc,WI_feed_in,tower_mill,V5_0239,formula_parent,1295
M_tm_discharge_solid_prev,WI_feed_in,tower_mill,V5_0239,formula_parent,1295
WI_discharge_prev,WI_feed_in,tower_mill,V5_0239,formula_parent,1295
WI_sand,WI_mill,tower_mill,V5_0240,formula_parent,1360
WI_feed,WI_sand,tower_mill,V5_0241,formula_parent,1354
M_solid_1,_x_clay_mixed,boundary,V5_0242,formula_parent,388
clay_1,_x_clay_mixed,boundary,V5_0242,formula_parent,388
M_solid_2,_x_clay_mixed,boundary,V5_0242,formula_parent,388
clay_2,_x_clay_mixed,boundary,V5_0242,formula_parent,388
M_solid_3,_x_clay_mixed,boundary,V5_0242,formula_parent,388
clay_3,_x_clay_mixed,boundary,V5_0242,formula_parent,388
M_solid_mixed,_x_clay_mixed,boundary,V5_0242,formula_parent,388
TFe_mixed,_x_d1,boundary,V5_0243,formula_parent,417
_x_d3_WI_mixed,_x_d3,boundary,V5_0244,formula_parent,419
M_solid_1,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
WI_1,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
M_solid_2,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
WI_2,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
M_solid_3,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
WI_3,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
M_solid_mixed,_x_d3_WI_mixed,boundary,V5_0245,formula_parent,385
water_pressure,_x_d4,boundary,V5_0246,formula_parent,420
M_wet_mixed,_x_m_ball,boundary,V5_0247,formula_parent,421
M_solid_1,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
r_carb_1,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
M_solid_2,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
r_carb_2,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
M_solid_3,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
r_carb_3,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
M_solid_mixed,_x_r_carb_mixed,boundary,V5_0248,formula_parent,391
C_mixed,_x_rho_ball,boundary,V5_0249,formula_parent,422
meas,agg_mag_blowdown_valve,magnetic,V5_0250,formula_parent,1279
u_blowdown_phys,agg_mag_blowdown_valve,magnetic,V5_0250,formula_parent,1279
meas,agg_mag_coil_temp,magnetic,V5_0251,formula_parent,1273
T_coil,agg_mag_coil_temp,magnetic,V5_0251,formula_parent,1273
meas,agg_mag_excit_current,magnetic,V5_0252,formula_parent,1271
I_exc,agg_mag_excit_current,magnetic,V5_0252,formula_parent,1271
meas,agg_mag_excit_voltage,magnetic,V5_0253,formula_parent,1272
V_exc_phys,agg_mag_excit_voltage,magnetic,V5_0253,formula_parent,1272
meas,agg_mag_flush_water_pressure,magnetic,V5_0254,formula_parent,1280
P_flush_phys,agg_mag_flush_water_pressure,magnetic,V5_0254,formula_parent,1280
meas,agg_mag_level,magnetic,V5_0255,formula_parent,1276
L_mag,agg_mag_level,magnetic,V5_0255,formula_parent,1276
meas,agg_mag_motor_current_rc,magnetic,V5_0256,formula_parent,1281
I_ring_motor_phys,agg_mag_motor_current_rc,magnetic,V5_0256,formula_parent,1281
meas,agg_mag_motor_voltage_rc,magnetic,V5_0257,formula_parent,1282
V_ring_motor_phys,agg_mag_motor_voltage_rc,magnetic,V5_0257,formula_parent,1282
meas,agg_mag_pulsation_freq,magnetic,V5_0258,formula_parent,1274
f_pul,agg_mag_pulsation_freq,magnetic,V5_0258,formula_parent,1274
meas,agg_mag_ring_freq,magnetic,V5_0259,formula_parent,1275
f_ring,agg_mag_ring_freq,magnetic,V5_0259,formula_parent,1275
meas,agg_mag_tailings_valve1,magnetic,V5_0260,formula_parent,1277
u_tail,agg_mag_tailings_valve1,magnetic,V5_0260,formula_parent,1277
meas,agg_mag_tailings_valve2,magnetic,V5_0261,formula_parent,1278
u_tail_2,agg_mag_tailings_valve2,magnetic,V5_0261,formula_parent,1278
meas,agg_tm_cyclone_feed_flow,tower_mill,V5_0262,formula_parent,1411
Q_pump,agg_tm_cyclone_feed_flow,tower_mill,V5_0262,formula_parent,1411
meas,agg_tm_cyclone_feed_pressure,tower_mill,V5_0263,formula_parent,1410
P_cyc,agg_tm_cyclone_feed_pressure,tower_mill,V5_0263,formula_parent,1410
meas,agg_tm_cyclone_overflow_pool_level,tower_mill,V5_0264,formula_parent,1427
L_ov_pool,agg_tm_cyclone_overflow_pool_level,tower_mill,V5_0264,formula_parent,1427
meas,agg_tm_cyclone_pool_level,tower_mill,V5_0265,formula_parent,1414
L_pool,agg_tm_cyclone_pool_level,tower_mill,V5_0265,formula_parent,1414
meas,agg_tm_cyclone_pool_valve_setpoint,tower_mill,V5_0266,formula_parent,1415
u_water_sp,agg_tm_cyclone_pool_valve_setpoint,tower_mill,V5_0266,formula_parent,1415
meas,agg_tm_cyclone_pump_current,tower_mill,V5_0267,formula_parent,1413
I_pump_phys,agg_tm_cyclone_pump_current,tower_mill,V5_0267,formula_parent,1413
meas,agg_tm_cyclone_pump_freq,tower_mill,V5_0268,formula_parent,1412
f_pump,agg_tm_cyclone_pump_freq,tower_mill,V5_0268,formula_parent,1412
meas,agg_tm_cyclone_sand_valve_feedback,tower_mill,V5_0269,formula_parent,1418
u_sand,agg_tm_cyclone_sand_valve_feedback,tower_mill,V5_0269,formula_parent,1418
meas,agg_tm_cyclone_sand_valve_setpoint,tower_mill,V5_0270,formula_parent,1417
u_sand_sp,agg_tm_cyclone_sand_valve_setpoint,tower_mill,V5_0270,formula_parent,1417
meas,agg_tm_cyclone_sand_water_flow,tower_mill,V5_0271,formula_parent,1419
Q_sand_water_phys,agg_tm_cyclone_sand_water_flow,tower_mill,V5_0271,formula_parent,1419
meas,agg_tm_motor_current,tower_mill,V5_0272,formula_parent,1420
I_tm_phys,agg_tm_motor_current,tower_mill,V5_0272,formula_parent,1420
meas,agg_tm_overflow_pump_current,tower_mill,V5_0273,formula_parent,1428
I_ov_pump_phys,agg_tm_overflow_pump_current,tower_mill,V5_0273,formula_parent,1428
meas,agg_tm_reducer_oil_temp,tower_mill,V5_0274,formula_parent,1421
T_oil,agg_tm_reducer_oil_temp,tower_mill,V5_0274,formula_parent,1421
meas,agg_tm_reducer_outlet_temp,tower_mill,V5_0275,formula_parent,1422
T_oil_out,agg_tm_reducer_outlet_temp,tower_mill,V5_0275,formula_parent,1422
air_filter_fouling_prev,air_filter_fouling,flotation,V5_0276,formula_parent,1540
d,air_filter_fouling,flotation,V5_0276,formula_parent,1540
kF,alpha_ov,tower_mill,V5_0277,formula_parent,1329
F325_feed,alpha_ov,tower_mill,V5_0277,formula_parent,1329
F325_ref,alpha_ov,tower_mill,V5_0277,formula_parent,1329
kP,alpha_ov,tower_mill,V5_0277,formula_parent,1329
P_cyc,alpha_ov,tower_mill,V5_0277,formula_parent,1329
P_ref,alpha_ov,tower_mill,V5_0277,formula_parent,1329
kC,alpha_ov,tower_mill,V5_0277,formula_parent,1329
C_feed,alpha_ov,tower_mill,V5_0277,formula_parent,1329
C_ref,alpha_ov,tower_mill,V5_0277,formula_parent,1329
kmu,alpha_ov,tower_mill,V5_0277,formula_parent,1329
mu_feed,alpha_ov,tower_mill,V5_0277,formula_parent,1329
mu_ref,alpha_ov,tower_mill,V5_0277,formula_parent,1329
alpha_ov,alpha_ov_water,tower_mill,V5_0278,formula_parent,1336
k_water_split,alpha_ov_water,tower_mill,V5_0278,formula_parent,1336
M_NT_solid_s,bed_mass_s,flotation,V5_0280,formula_parent,1464
M_NT_solid_ref,bed_mass_s,flotation,V5_0280,formula_parent,1464
blower_on_b,blower_load_share_b,flotation,V5_0281,formula_parent,1542
blower_capacity_b,blower_load_share_b,flotation,V5_0281,formula_parent,1542
sum_b,blower_load_share_b,flotation,V5_0281,formula_parent,1542
P_blower_power_total,blower_power_share1,flotation,V5_0282,formula_parent,1662
Q_air_total_s1,blower_power_share1,flotation,V5_0282,formula_parent,1662
Q_air_total,blower_power_share1,flotation,V5_0282,formula_parent,1662
P_blower_power_total,blower_power_share2,flotation,V5_0283,formula_parent,1663
Q_air_total_s2,blower_power_share2,flotation,V5_0283,formula_parent,1663
Q_air_total,blower_power_share2,flotation,V5_0283,formula_parent,1663
blower_speed_sp_b,blower_speed_b,flotation,V5_0284,formula_parent,1545
